name,mass,radius,distance
SDSS J000013.54+255418.6 [de],0.045820224,0.10173536999999999,46.1
2MASS J00040288-6410358,0.018137172,0.16750368999999998,192.0
2MASS J00242463-0158201,0.075412452,0.11201167000000001,37.7
2MASS J00274197+0503417,0.029592228,0.14797871999999998,236.0
2MASSW J0030300-145033,0.051547752,0.10070773999999999,87.2
2MASS J00332386-1521309 [de],0.027683052,0.14695108999999998,131.0
2MASS J00345157+0523050,0.040092696000000004,0.09659721999999998,31.0
2MASS 0036+1821,0.040092696000000004,0.09659721999999998,28.6
2MASSW J0045214+163445,0.021955524,0.16647606,57.0
WISEP J004701.06+680352.1 [fr],0.011455056,0.13359189999999999,40.0
2MASS J00501994-3322402 [de],0.03818352,0.09659721999999998,34.0
2MASS J00584253-0651239 [de],0.027683052,0.14695108999999998,96.0
2MASSI J0103320+193536,0.049638576000000004,0.10070773999999999,70.0
SDSSp J010752.33+004156.1 [de],0.049638576000000004,0.10070773999999999,51.0
2MASSI J0117474-340325 [de],0.01909176,0.16647606,163.0
2MASS J01415823-4633574 [de],0.01909176,0.16544843,130.0
SDSS J015141.69+124429.6,0.044865636,0.09968010999999999,70.0
SDSS J020742.48+000056.2 [de],0.044865636,0.09968010999999999,111.0
2MASS J02103857-3015313,0.014318820000000001,0.15722739,101.0
2MASS J02340093-6442068,0.01909176,0.16647606,155.0
2MASS J02411151-0326587 [de],0.025773876,0.14489582999999998,152.0
2MASS J02431371−2453298,0.031501404000000004,0.10173536999999999,35.0
LP 771-21,0.074457864,0.11098404,53.0
Teegarden's star,0.07636704,0.13050900999999998,12.578
2MASS J02535980+3206373,0.06204822,0.19524969999999997,184.0
WISE J0254+0223,0.06204822,0.19524969999999997,24.0
DEN 0255-4700,0.07636704,0.09968010999999999,16.2
2MASS J03185403-3421292 [de],0.046774812,0.09968010999999999,45.0
2MASS J03205965+1854233,0.084003744,0.11817744999999999,47.0
2MASS J03231002-4631237,0.021955524,0.17058658,192.0
SDSS J032553.17+042540.1,0.04295646,0.09762484999999999,59.0
2MASS J03264225-2102057 [de],0.017182584,0.13359189999999999,80.0
2MASS J03284265+2302051 [de],0.051547752,0.10070773999999999,98.0
2MASS J03341218-4953322,0.069684924,0.10687352,27.0
LP 944-20,0.069684924,0.14695108999999998,20.9
2MASP J0345432+254023,0.070639512,0.10790115,88.0
Teide 1,0.05250234,0.38844413999999994,380.0
2MASS J03510004-0052452,0.09736797600000001,0.13050900999999998,48.0
2MASS J03552337+1133437,0.01909176,0.13564716,29.8
2MASS J04151954−0935066,0.028637640000000002,0.09762484999999999,18.6
2MASS J04285096-2253227 [de],0.07636704,0.11201167000000001,85.0
2MASS J04351612-1606574,0.0954588,0.12948137999999998,34.0
2MASS J04362788-4114465,0.037228932,0.20244310999999998,142.0
2MASS J04390101-2353083 [de],0.045820224,0.09968010999999999,29.5
2MASS J04433764+0002040,0.021000936,0.18291813999999998,82.0
2MASS J04455387-3048204 [de],0.061093632,0.102763,42.0
2MASS J04510093-3402150 [de],0.00099277152,7.398935999999999,69.0
2MASS J05002100+0330501 [de],0.061093632,0.102763,44.0
2MASS J05012406-0010452 [de],0.020046348000000002,0.14181293999999997,64.0
2MASS J05160945-0445499 [de],0.044865636,0.09968010999999999,73.0
2MASS J0523−1403,0.064911984,0.10379063,40.0
SDSS J053951.99-005902.0,0.058229868000000004,0.10379063,41.62
LSR 0602+3910 [de],0.026728464,0.14489582999999998,34.6
2MASS J06085283-2753583,0.036274344,0.15517213,102.0
2MASS J06244595-4521548 [de],0.053456928,0.10173536999999999,39.0
2MASS J06411840-4322329 [de],0.063957396,0.10379063,65.0
DENIS-P J0652197-253450 [de],0.07159410000000001,0.10790115,51.0
2MASS J07075327-4900503,0.068730336,0.10584589,60.0
UGPS J072227.51-054031.2,0.024819288000000002,0.10070773999999999,13.4
2MASSI J0727182+171001 [de],0.039138108,0.09659721999999998,29.6
